name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
Lolth's Sting,lolth-s-sting,XDMG,91,Adventuring Gear,G,none,,0,,0,,200.0,0,"[""A creature subjected to Lolth's Sting must succeed on a {@dc 13} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for 1 hour. If the creature fails the save by 5 or more, the creature also has the {@condition Unconscious|XPHB} condition while {@condition Poisoned|XPHB} in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.""]",1
Longship,longship,XPHB,230,Ship,SHP,none,,0,,0,,10000.0,0,[],1
Mace of Disruption,mace-of-disruption,XDMG,276,Melee Weapon,M,rare,,1,,0,4,,0,"[""When you hit a Fiend or an Undead with this magic weapon, that creature takes an extra {@damage 2d6} Radiant damage. If the target has 25 {@variantrule Hit Points|XPHB} or fewer after taking this damage, it must succeed on a {@dc 15} Wisdom saving throw or be destroyed. On a successful save, the creature has the {@condition Frightened|XPHB} condition until the end of your next turn."", {""type"": ""entries"", ""name"": ""Light"", ""entries"": [""While you hold this weapon, it sheds {@variantrule Bright Light|XPHB} in a 20-foot radius and {@variantrule Dim Light|XPHB} for an additional 20 feet.""]}]",1
Mace of Smiting,mace-of-smiting,XDMG,276,Melee Weapon,M,rare,,0,,0,4,,0,"[""You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. The bonus increases to +3 when you use the weapon to attack a Construct."", ""When you roll a 20 on an attack roll made with this weapon, the target takes an extra 7 Bludgeoning damage, or 14 Bludgeoning damage if it's a Construct. If a Construct has 25 {@variantrule Hit Points|XPHB} or fewer after taking this damage, it is destroyed.""]",1
Mace of Terror,mace-of-terror,XDMG,276,Melee Weapon,M,rare,,1,,0,4,,0,"[""This magic weapon has 3 charges and regains {@dice 1d3} expended charges daily at dawn. While holding the weapon, you can take a {@action Magic|XPHB} action and expend 1 charge to release a wave of terror from it. Each creature of your choice within 30 feet of you must succeed on a {@dc 15} Wisdom saving throw or have the {@condition Frightened|XPHB} condition for 1 minute. While {@condition Frightened|XPHB} in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't make {@action Opportunity Attack|XPHB|Opportunity Attacks}. For its action, it can use only the {@action Dash|XPHB} action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can take the {@action Dodge|XPHB} action. At the end of each of its turns, a creature repeats the save, ending the effect on itself on a success.""]",1
Magnifying Glass,magnifying-glass,XPHB,226,Adventuring Gear,G,none,,0,,0,,100.0,0,"[""A Magnifying Glass grants {@variantrule Advantage|XPHB} on any ability check made to appraise or inspect a highly detailed item. Lighting a fire with a Magnifying Glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite.""]",1
Malice,malice,XDMG,91,Adventuring Gear,G,none,,0,,0,,250.0,0,"[""A creature subjected to Malice must succeed on a {@dc 15} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for 1 hour. The creature also has the {@condition Blinded|XPHB} condition while {@condition Poisoned|XPHB} in this way.""]",1
Manacles,manacles,XPHB,226,Adventuring Gear,G,none,,0,,0,6,2.0,0,"[""As a {@action Utilize|XPHB} action, you can use Manacles to bind an unwilling Small or Medium creature within 5 feet of yourself that has the {@condition Grappled|XPHB}, {@condition Incapacitated|XPHB}, or {@condition Restrained|XPHB} condition if you succeed on a {@dc 13} Dexterity ({@skill Sleight of Hand|XPHB}) check. While bound, a creature has {@variantrule Disadvantage|XPHB} on attack rolls, and the creature is {@condition Restrained|XPHB} if the Manacles are attached to a chain or hook that is fixed in place. Escaping the Manacles requires a successful {@dc 20} Dexterity ({@skill Sleight of Hand|XPHB}) check as an action. Bursting them requires a successful {@dc 25} Strength ({@skill Athletics|XPHB}) check as an action."", ""Each set of Manacles comes with a key. Without the key, a creature can use {@item Thieves' Tools|XPHB} to pick the Manacles' lock with a successful {@dc 15} Dexterity ({@skill Sleight of Hand|XPHB}) check.""]",1
Mantle of Spell Resistance,mantle-of-spell-resistance,XDMG,276,Wondrous Item,WON,rare,,1,,1,,,0,"[""You have {@variantrule Advantage|XPHB} on saving throws against spells while you wear this cloak.""]",1
Manual of Bodily Health,manual-of-bodily-health,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book contains health and diet tips, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Constitution increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Manual of Clay Golems,manual-of-clay-golems,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This tome contains information and incantations necessary to make a {@creature clay golem|XMM}. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a {@i manual of golems} and attempts to read it takes {@damage 6d6} psychic damage."", ""To create a clay golem, you must spend 30 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 65,000 gp to purchase supplies."", ""Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands.""]",1
Manual of Flesh Golems,manual-of-flesh-golems,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This tome contains information and incantations necessary to make a {@creature flesh golem|XMM}. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a {@i manual of golems} and attempts to read it takes {@damage 6d6} psychic damage."", ""To create a flesh golem, you must spend 60 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 50,000 gp to purchase supplies."", ""Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands.""]",1
Manual of Gainful Exercise,manual-of-gainful-exercise,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book describes fitness exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Strength increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Manual of Iron Golems,manual-of-iron-golems,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This tome contains information and incantations necessary to make a {@creature iron golem|XMM}. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a {@i manual of golems} and attempts to read it takes {@damage 6d6} psychic damage."", ""To create an iron golem, you must spend 120 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 100,000 gp to purchase supplies."", ""Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands.""]",1
Manual of Quickness of Action,manual-of-quickness-of-action,XDMG,278,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This book contains coordination and balance exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Dexterity increases by 2, to a maximum of 30. The manual then loses its magic, but regains it in a century.""]",1
Manual of Stone Golems,manual-of-stone-golems,XDMG,277,Wondrous Item,WON,very rare,,0,,1,5,,0,"[""This tome contains information and incantations necessary to make a {@creature stone golem|XMM}. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a {@i manual of golems} and attempts to read it takes {@damage 6d6} psychic damage."", ""To create a stone golem, you must spend 90 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 80,000 gp to purchase supplies."", ""Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands.""]",1
Map or Scroll Case,map-or-scroll-case,XPHB,224,Adventuring Gear,G,none,,0,,0,1,1.0,0,"[""A {@item Map or Scroll Case|XPHB} holds up to 10 sheets of paper or 5 sheets of parchment.""]",1
Mastiff,mastiff,XPHB,229,Mount,MNT,none,,0,,0,,25.0,0,[],1
Medallion of Thoughts,medallion-of-thoughts,XDMG,278,Wondrous Item,WON,uncommon,,1,,1,1,,1,"[""The medallion has 5 charges. While wearing it, you can expend 1 charge to cast {@spell Detect Thoughts|XPHB} (save {@dc 13}) from it. The medallion regains {@dice 1d4} expended charges daily at dawn.""]",1
Midnight Tears,midnight-tears,XDMG,91,Adventuring Gear,G,none,,0,,0,,1500.0,0,"[""A creature that ingests Midnight Tears suffers no effect until the stroke of midnight. Any effect that ends the {@condition Poisoned|XPHB} condition neutralizes this poison. If the poison hasn't been neutralized before midnight, the creature makes a {@dc 17} Constitution saving throw, taking 31 ({@damage 9d6}) Poison damage on a failed save or half as much damage on a successful one.""]",1
Military Saddle,military-saddle,XPHB,230,Tack and Harness,TAH,none,,0,,0,30,20.0,0,"[""A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. A Military Saddle gives {@variantrule Advantage|XPHB} on any ability check you make to remain mounted.""]",1
Mirror,mirror,XPHB,227,Adventuring Gear,G,none,,0,,0,0.5,5.0,0,"[""A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal.""]",1
Mirror of Life Trapping,mirror-of-life-trapping,XDMG,278,Wondrous Item,WON,very rare,,0,,1,50,,0,"[""When this 4-foot-tall, 2-foot-wide mirror is viewed indirectly, its surface shows faint images of creatures. The mirror weighs 50 pounds, and it has AC 11, HP 10, {@variantrule Immunity|XPHB} to Poison and Psychic damage, and {@variantrule Vulnerability|XPHB} to Bludgeoning damage. It shatters and is destroyed when reduced to 0 {@variantrule Hit Points|XPHB}."", ""If the mirror is hanging on a vertical surface and you are within 5 feet of it, you can take a {@action Magic|XPHB} action and use a command word to activate it. It remains activated until you take a {@action Magic|XPHB} action and repeat the command word to deactivate it."", ""Any creature other than you that sees its reflection in the activated mirror while within 30 feet of the mirror must succeed on a {@dc 15} Charisma saving throw or be trapped, along with anything it is wearing or carrying, in one of the mirror's twelve extradimensional cells. A creature that knows the mirror's nature makes the save with {@variantrule Advantage|XPHB}, and Constructs succeed on the save automatically."", ""An extradimensional cell is an infinite expanse filled with thick fog that reduces visibility to 10 feet. Creatures trapped in the mirror's cells don't age, and they don't need to eat, drink, or sleep. A creature trapped within a cell can escape using magic that permits planar travel. Otherwise, the creature is confined to the cell until freed."", ""If the mirror traps a creature but its twelve extradimensional cells are already occupied, the mirror frees one trapped creature at random to accommodate the new prisoner. A freed creature appears in an unoccupied space within sight of the mirror but facing away from it. If the mirror is shattered, all creatures it contains are freed and appear in unoccupied spaces near it."", ""While within 5 feet of the mirror, you can take a {@action Magic|XPHB} action to name one creature trapped in it or call out a particular cell by number. The creature named or contained in the named cell appears as an image on the mirror's surface. You and the creature can then communicate."", ""In a similar way, you can take a {@action Magic|XPHB} action and use a second command word to free one creature trapped in the mirror. The freed creature appears, along with its possessions, in the unoccupied space nearest to the mirror and facing away from it."", ""Placing the mirror inside an extradimensional space created by a {@item Bag of Holding|XDMG}, Portable Hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate and not behind {@variantrule Cover|XPHB|Total Cover} is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.""]",1
Mule,mule,XPHB,229,Mount,MNT,none,,0,,0,,8.0,0,[],1
Navigator's Tools,navigator-s-tools,XPHB,221,Tools,T,none,,0,,0,2,25.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Plot a course ({@dc 10}), or determine position by stargazing ({@dc 15})""]}]}]",1
Necklace of Adaptation,necklace-of-adaptation,XDMG,280,Wondrous Item,WON,uncommon,,1,,1,1,,0,"[""While wearing this necklace, you can breathe normally in any environment, and you have {@variantrule Advantage|XPHB} on saving throws made to avoid or end the {@condition Poisoned|XPHB} condition.""]",1
Necklace of Fireballs,necklace-of-fireballs,XDMG,280,Wondrous Item,WON,rare,,0,,1,1,,1,"[""This necklace has {@dice 1d6 + 3} beads hanging from it. You can take a {@action Magic|XPHB} action to detach a bead and throw it up to 60 feet away. When it reaches the end of its trajectory, the bead detonates as a level 3 {@spell Fireball|XPHB} (save {@dc 15})."", ""You can hurl multiple beads, or even the whole necklace, at one time. When you do so, increase the damage of the Fireball by {@damage 1d6} for each bead after the first (maximum {@dice 12d6}).""]",1
Necklace of Prayer Beads,necklace-of-prayer-beads,XDMG,281,Wondrous Item,WON,rare,,1,"by a cleric, druid, or paladin",1,1,,1,"[""This necklace has {@dice 1d4 + 2} magic beads made from aquamarine, black pearl, or topaz. It also has many nonmagical beads made from stones such as amber, bloodstone, citrine, coral, jade, pearl, or quartz. If a magic bead is removed from the necklace, that bead loses its magic."", ""Six types of magic beads exist. The DM decides the type of each bead on the necklace or determines it randomly by rolling on the table below. A necklace can have more than one bead of the same type. To use one, you must be wearing the necklace. Each bead contains a spell that you can cast from it as a {@variantrule Bonus Action|XPHB} (using your spell save DC if a save is necessary). Once a magic bead's spell is cast, that bead can't be used again until the next dawn."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-5"", ""col-5""], ""colLabels"": [""1d20"", ""Bead"", ""Spell""], ""rows"": [[""1-6"", ""Bead of Blessing"", ""{@spell Bless|XPHB}""], [""7-12"", ""Bead of Curing"", ""{@spell Cure Wounds|XPHB} (level 2 version)""], [""13-16"", ""Bead of Favor"", ""{@spell Greater Restoration|XPHB}""], [""17-18"", ""Bead of Smiting"", ""{@spell Shining Smite|XPHB}""], [""19"", ""Bead of Summons"", ""{@spell Guardian of Faith|XPHB}""], [""20"", ""Bead of Wind Walking"", ""{@spell Wind Walk|XPHB}""]]}]",1
Net,net,XPHB,227,Adventuring Gear,G,none,,0,,0,3,1.0,0,"[""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing a Net. Target a creature you can see within 15 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or have the {@condition Restrained|XPHB} condition until it escapes. The target succeeds automatically if it is Huge or larger."", ""To escape, the target or a creature within 5 feet of it must take an action to make a {@dc 10} Strength ({@skill Athletics|XPHB}) check, freeing the {@condition Restrained|XPHB} creature on a success. Destroying the Net (AC 10; 5 HP; {@variantrule Immunity|XPHB} to Bludgeoning, Poison, and Psychic damage) also frees the target, ending the effect.""]",1
Nolzur's Marvelous Pigments,nolzur-s-marvelous-pigments,XDMG,281,Wondrous Item,WON,very rare,,0,,1,,,0,"[""This fine wooden box contains {@dice 1d4} pots of pigment and a brush (weighing 1 pound in total). Using the brush and expending 1 pot of pigment, you can paint any number of three-dimensional objects and terrain features (such as walls, doors, trees, flowers, weapons, webs, and pits), provided these elements are all confined to a 20-foot {@variantrule Cube [Area of Effect]|XPHB|Cube}. The effort takes 10 minutes (regardless of the number of elements you create), during which time you must remain in the {@variantrule Cube [Area of Effect]|XPHB|Cube}, and requires {@status Concentration|XPHB}. If your {@status Concentration|XPHB} is broken or you leave the {@variantrule Cube [Area of Effect]|XPHB|Cube} before the work is done, all the painted elements vanish, and the pot of pigment is wasted."", ""When the work is done, all the painted objects and terrain features become real. Thus, painting a door on a wall creates an actual door, which can be opened to whatever is beyond. Painting a pit creates a real pit, the entire depth of which must lie within the 20-foot {@variantrule Cube [Area of Effect]|XPHB|Cube}."", ""No object created by a pot of pigment can have a value greater than 25 GP, and the total value of all objects created by a pot of pigment can't exceed 500 GP. If you paint objects of greater value (such as a large pile of gold), they look authentic, but close inspection reveals they're made from paste, cookies, or some other worthless material."", ""If you paint a form of energy such as fire or lightning, the energy dissipates as soon as you complete the painting, doing no harm.""]",1
Oil,oil,XPHB,227,Adventuring Gear,G,none,,0,,0,1,0.1,0,"[""You can douse a creature, object, or space with Oil or use it as fuel, as detailed below."", {""name"": ""Dousing a Creature or an Object"", ""type"": ""entries"", ""entries"": [""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing an Oil flask. Target one creature or object within 20 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or be covered in oil. If the target takes Fire damage before the oil dries (after 1 minute), the target takes an extra 5 Fire damage from burning oil.""]}, {""name"": ""Dousing a Space"", ""type"": ""entries"", ""entries"": [""You can take the {@action Utilize|XPHB} action to pour an Oil flask on level ground to cover a 5-foot-square area within 5 feet of yourself. If lit, the oil burns until the end of the turn 2 rounds from when the oil was lit (or 12 seconds) and deals 5 Fire damage to any creature that enters the area or ends its turn there. A creature can take this damage only once per turn.""]}, {""name"": ""Fuel"", ""type"": ""entries"", ""entries"": [""Oil serves as fuel for Lamps and Lanterns. Once lit, a flask of Oil burns for 6 hours in a Lamp or Lantern. That duration doesn't need to be consecutive; you can extinguish the burning Oil (as a {@action Utilize|XPHB} action) and rekindle it again until it has burned for a total of 6 hours.""]}]",1
Oil of Etherealness,oil-of-etherealness,XDMG,282,Potion,P,rare,,0,,0,0.5,,1,"[""One vial of this oil can cover one Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the {@spell Etherealness|XPHB} spell for 1 hour."", ""Beads of this cloudy, gray oil form on the outside of its container and quickly evaporate.""]",1
Oil of Sharpness,oil-of-sharpness,XDMG,282,Potion,P,very rare,,0,,0,0.5,,0,"[""One vial of this oil can coat one Melee weapon or twenty pieces of ammunition, but only ammunition and Melee weapons that are nonmagical and deal Slashing or Piercing damage are affected. Applying the oil takes 1 minute, after which the oil magically seeps into whatever it coats, turning the coated weapon into a +3 Weapon or the coated ammunition into +3 Ammunition."", ""This clear, gelatinous oil sparkles with tiny, ultrathin silver shards.""]",1
Oil of Slipperiness,oil-of-slipperiness,XDMG,283,Potion,P,uncommon,,0,,0,0.5,,1,"[""One vial of this oil can cover one Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the {@spell Freedom of Movement|XPHB} spell for 8 hours."", ""Alternatively, the oil can be poured on the ground as a {@action Magic|XPHB} action, where it covers a 10-foot square, duplicating the effect of the {@spell Grease|XPHB} spell in that area for 8 hours."", ""This sticky, black unguent is thick and heavy, but it flows quickly when poured.""]",1
Oil of Taggit,oil-of-taggit,XDMG,91,Adventuring Gear,G,none,,0,,0,,400.0,0,"[""A creature subjected to Oil of Taggit must succeed on a {@dc 13} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for 24 hours. The creature also has the {@condition Unconscious|XPHB} condition while {@condition Poisoned|XPHB} in this way. It wakes up if it takes damage.""]",1
Orb of Dragonkind,orb-of-dragonkind,XDMG,283,Wondrous Item,WON,artifact,,1,,1,3,,1,"[""Long ago, in the Dragonlance setting, elves and humans waged a terrible war against chromatic dragons. When the world seemed doomed, the wizards of the Towers of High Sorcery came together and forged five Orbs of Dragonkind to help defeat the dragons. One orb was taken to each of the five towers, and there they were used to speed the war toward a victorious end. The wizards used the orbs to lure dragons to them, then destroyed the dragons with powerful magic."", ""As the Towers of High Sorcery fell in later ages, the orbs were destroyed or faded into legend, and only three are thought to survive. Their magic has been warped over the centuries. Their primary purpose of calling dragons still functions, but they also allow some measure of control over dragons."", ""Each orb contains the essence of an evil dragon, a presence that resents any attempt to coax magic from it. Those who try to wield an orb's magic but lack sufficient force of personality might find themselves under the orb's control."", ""An orb is an etched crystal globe about 10 inches in diameter. When used, it grows to about 20 inches in diameter, and mist swirls inside it."", ""While attuned to an orb, you can take a {@action Magic|XPHB} action to peer into the orb's depths. You must then make a {@dc 15} Charisma saving throw. On a successful save, you control the orb for as long as you remain attuned to it. On a failed save, the orb imposes the {@condition Charmed|XPHB} condition on you for as long as you remain attuned to it."", ""While you are {@condition Charmed|XPHB} by the orb, you can't voluntarily end your {@variantrule Attunement|XPHB} to it, and the orb casts {@spell Suggestion|XPHB} on you at will (save {@dc 18}), urging you to work toward the evil ends it desires. The dragon essence within the orb might want many things: the annihilation of a particular society or organization, freedom from the orb, to spread suffering in the world, to advance the worship of {@book Tiamat|XDMG|8|Tiamat}, or something else the DM decides."", {""type"": ""entries"", ""name"": ""Random Properties"", ""entries"": [""An Orb of Dragonkind has the following random properties:"", {""type"": ""list"", ""items"": [""2 {@table Artifact Properties; Minor Beneficial Properties|XDMG|minor beneficial} properties"", ""1 {@table Artifact Properties; Minor Detrimental Properties|XDMG|minor detrimental} property"", ""1 {@table Artifact Properties; Major Detrimental Properties|XDMG|major detrimental} property""]}]}, {""type"": ""entries"", ""name"": ""Spells"", ""entries"": [""The orb has 7 charges and regains {@dice 1d4 + 3} expended charges daily at dawn. If you control the orb, you can cast one of the spells on the following table from it. The table indicates how many charges you must expend to cast the spell."", {""type"": ""table"", ""colStyles"": [""col-10"", ""col-2 text-center""], ""colLabels"": [""Spell"", ""Charge Cost""], ""rows"": [[""{@spell Cure Wounds|XPHB} (level 9 version)"", ""4""], [""{@spell Daylight|XPHB}"", ""1""], [""{@spell Death Ward|XPHB}"", ""2""], [""{@spell Detect Magic|XPHB}"", ""0""], [""{@spell Scrying|XPHB} (save {@dc 18})"", ""3""]]}]}, {""type"": ""entries"", ""name"": ""Call Dragons"", ""entries"": [""While you control the orb, you can take a {@action Magic|XPHB} action to cause the orb to issue a telepathic call that extends in all directions for 40 miles. Chromatic dragons in range feel compelled to come to the orb as soon as possible by the most direct route. Dragon deities such as {@book Tiamat|XDMG|8|Tiamat} are unaffected by this call. Chromatic dragons drawn to the orb might be {@variantrule Hostile [Attitude]|XPHB|Hostile} toward you for compelling them against their will. Once you have used this property, it can't be used again for 1 hour.""]}, {""type"": ""entries"", ""name"": ""Destroying an Orb"", ""entries"": [""An Orb of Dragonkind has AC 20 and is destroyed if it takes damage from a +3 Weapon or a {@spell Disintegrate|XPHB} spell. Nothing else can harm it.""]}]",1
Ox,ox,XDMG,213,Trade Good,TG,none,,0,,0,,15.0,0,[],1
Pale Tincture,pale-tincture,XDMG,91,Adventuring Gear,G,none,,0,,0,,250.0,0,"[""A creature subjected to Pale Tincture must succeed on a {@dc 16} Constitution saving throw or take 3 ({@damage 1d6}) Poison damage and have the {@condition Poisoned|XPHB} condition. The {@condition Poisoned|XPHB} creature repeats the save every 24 hours, taking 3 ({@damage 1d6}) Poison damage on a failed save. The damage the poison deals can't be healed by any means while the creature remains {@condition Poisoned|XPHB}. After seven successful saves against the poison, the creature is no longer {@condition Poisoned|XPHB}.""]",1
Paper,paper,XPHB,227,Adventuring Gear,G,none,,0,,0,,0.2,0,"[""One sheet of Paper can hold about 250 handwritten words.""]",1
Parchment,parchment,XPHB,227,Adventuring Gear,G,none,,0,,0,,0.1,0,"[""One sheet of Parchment can hold about 250 handwritten words.""]",1
Pearl of Power,pearl-of-power,XDMG,284,Wondrous Item,WON,uncommon,,1,by a spellcaster,1,,,0,"[""While this pearl is on your person, you can take a {@action Magic|XPHB} action to regain one expended spell slot of level 3 or lower. Once you use the pearl, it can't be used again until the next dawn.""]",1
Pepper,pepper,XDMG,213,Trade Good,TG,none,,0,,0,1,2.0,0,[],1
Perfume,perfume,XPHB,227,Adventuring Gear,G,none,,0,,0,,5.0,0,"[""Perfume comes in a 4-ounce vial. For 1 hour after applying Perfume to yourself, you have {@variantrule Advantage|XPHB} on Charisma ({@skill Persuasion|XPHB}) checks made to influence an Indifferent Humanoid within 5 feet of yourself.""]",1
Periapt of Health,periapt-of-health,XDMG,284,Wondrous Item,WON,uncommon,,1,,1,1,,0,"[""While wearing this pendant, you can take a {@action Magic|XPHB} action to regain {@dice 2d4 + 2} {@variantrule Hit Points|XPHB}. Once used, this property can't be used again until the next dawn."", ""In addition, you have {@variantrule Advantage|XPHB} on saving throws to avoid or end the {@condition Poisoned|XPHB} condition while you wear this pendant.""]",1
Periapt of Proof against Poison,periapt-of-proof-against-poison,XDMG,284,Wondrous Item,WON,rare,,1,,1,1,,0,"[""This delicate silver chain has a brilliant-cut black gem pendant. While you wear it, you have {@variantrule Immunity|XPHB} to the {@condition Poisoned|XPHB} condition and Poison damage.""]",1
Periapt of Wound Closure,periapt-of-wound-closure,XDMG,284,Wondrous Item,WON,uncommon,,1,,1,1,,0,"[""While wearing this pendant, you gain the following benefits."", {""type"": ""entries"", ""name"": ""Life Preservation"", ""entries"": [""Whenever you make a {@variantrule Death Saving Throw|XPHB}, you can change a roll of 9 or lower to a 10, turning a failed save into a successful one.""]}, {""type"": ""entries"", ""name"": ""Natural Healing Boost"", ""entries"": [""Whenever you roll a {@variantrule Hit Point Dice|XPHB|Hit Point Die} to regain {@variantrule Hit Points|XPHB}, double the number of {@variantrule Hit Points|XPHB} it restores.""]}]",1
Philter of Love,philter-of-love,XDMG,285,Potion,P,uncommon,,0,,0,0.5,,0,"[""The next time you see a creature within 10 minutes after drinking this philter, you are {@condition charmed|XPHB} by that creature and have the {@condition Charmed|XPHB} condition for 1 hour."", ""This rose-hued, effervescent liquid contains one easy-to-miss bubble shaped like a heart.""]",1
Pig,pig,XDMG,213,Trade Good,TG,none,,0,,0,,3.0,0,[],1
Pipes of Haunting,pipes-of-haunting,XDMG,285,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""These pipes have 3 charges and regain {@dice 1d3} expended charges daily at dawn. You can take a {@action Magic|XPHB} action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature of your choice within 30 feet of you must succeed on a {@dc 15} Wisdom saving throw or have the {@condition Frightened|XPHB} condition for 1 minute. A creature that fails the save repeats it at the end of each of its turns, ending the effect on itself on a success. A creature that succeeds on its save is immune to the effect of these pipes for 24 hours.""]",1
Pipes of the Sewers,pipes-of-the-sewers,XDMG,285,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""While these pipes are on your person, ordinary {@creature rat|XMM|rats} and {@creature giant rat|XMM|giant rats} are {@variantrule Indifferent [Attitude]|XPHB|Indifferent} toward you and won't attack you unless you threaten or harm them."", ""The pipes have 3 charges and regain {@dice 1d3} expended charges daily at dawn. If you play the pipes as a {@action Magic|XPHB} action, you can take a {@variantrule Bonus Action|XPHB} to expend 1 to 3 charges, calling forth one {@creature Swarm of Rats|XMM} with each expended charge if enough rats are within half a mile of you to be called in this fashion (as determined by the DM). If there aren't enough rats to form a swarm, the charge is wasted. Called swarms move toward the music by the shortest available route but aren't under your control otherwise."", ""Whenever a Swarm of Rats that isn't under another creature's control comes within 30 feet of you while you are playing the pipes, the swarm makes a {@dc 15} Wisdom saving throw. On a successful save, the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours. On a failed save, the swarm is swayed by the pipes' music and becomes {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies for as long as you continue to play the pipes each round as a {@action Magic|XPHB} action. A {@variantrule Friendly [Attitude]|XPHB|Friendly} swarm obeys your commands. If you issue no commands to a {@variantrule Friendly [Attitude]|XPHB|Friendly} swarm, it defends itself but otherwise takes no actions. If a {@variantrule Friendly [Attitude]|XPHB|Friendly} swarm starts its turn more than 30 feet away from you, your control over that swarm ends, and the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours.""]",1
Platinum,platinum,XDMG,213,Trade Good,TG,none,,0,,0,1,500.0,0,[],1
Playing Cards,playing-cards,XPHB,221,Gaming Set,GS,none,,0,,0,,0.5,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Discern whether someone is cheating ({@dc 10}), or win the game ({@dc 20})""]}]}]",1
